FID,IID,POPULATION,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ESN23,ESN23,ESN,-0.037,0.005,-0.0019,-0.0013,0.0022,0.0019,0.0199,0.0441,-0.0206,0.0032
ESN24,ESN24,ESN,-0.037,0.0052,-0.0009,-0.0001,0.0034,0.0029,0.0144,0.0461,-0.0186,0.0092
ESN25,ESN25,ESN,-0.0368,0.0049,-0.0012,-0.0008,0.0029,0.0001,0.0138,0.0384,-0.0204,0.0068
ESN26,ESN26,ESN,-0.0371,0.0046,-0.0017,-0.0007,0.0003,0.0024,0.0192,0.036,-0.0188,0.01
ESN27,ESN27,ESN,-0.0369,0.0053,-0.0025,-0.0009,0.0011,0.0016,0.0207,0.0377,-0.0202,0.0075
ESN28,ESN28,ESN,-0.037,0.0048,-0.0014,0,0.0048,0.0015,0.0229,0.0459,-0.0195,0.0224
ESN29,ESN29,ESN,-0.037,0.0047,-0.002,-0.0008,0.0038,0.0028,0.0172,0.0407,-0.0173,0.0092
ESN30,ESN30,ESN,-0.0371,0.0051,-0.0005,-0.0015,0.0019,0.0034,0.0204,0.0393,-0.0182,0.0014
ESN31,ESN31,ESN,-0.037,0.0052,-0.0008,-0.0009,0.001,0.0016,0.0158,0.0423,-0.0172,0.0144
ESN32,ESN32,ESN,-0.037,0.0052,-0.0018,-0.0006,0.0019,0.0008,0.0165,0.0386,-0.0137,0.0147
ESN33,ESN33,ESN,-0.0374,0.0047,-0.0016,-0.0013,0.0014,-0.0001,0.0206,0.0434,-0.0144,0.0143
ESN34,ESN34,ESN,-0.037,0.0048,-0.0014,-0.0009,0.0021,0.0017,0.0174,0.0464,-0.0225,0.0149
ESN35,ESN35,ESN,-0.0372,0.0052,-0.0018,-0.0007,0.0028,0.0015,0.0125,0.0412,-0.0148,0.0187
ESN36,ESN36,ESN,-0.037,0.0049,-0.0026,-0.0017,0.0043,0.0009,0.0175,0.0434,-0.0126,0.0186
ESN37,ESN37,ESN,-0.0372,0.0049,-0.0028,-0.0008,0.0007,0.0013,0.0164,0.04,-0.0266,0.0087
ESN38,ESN38,ESN,-0.037,0.0049,-0.0031,-0.0016,0.0026,0.0012,0.0159,0.0435,-0.0168,0.0165
ESN39,ESN39,ESN,-0.0369,0.0045,-0.0026,-0.0015,0.0038,0.0012,0.0166,0.044,-0.0156,0.0109
ESN40,ESN40,ESN,-0.037,0.0052,-0.002,-0.0008,0.0004,0.0006,0.0142,0.0382,-0.0127,0.0119
ESN41,ESN41,ESN,-0.0371,0.0049,-0.0028,-0.0012,0.002,-0.001,0.0143,0.0424,-0.0194,0.0114
ESN42,ESN42,ESN,-0.0372,0.0049,-0.0019,-0.0012,0.004,-0.001,0.0169,0.0408,-0.0097,0.0092
ESN43,ESN43,ESN,-0.0368,0.005,-0.0015,-0.0003,0.0025,0.003,0.0174,0.0406,-0.018,0.0203
ESN44,ESN44,ESN,-0.0372,0.0049,-0.0021,-0.0007,0.0019,0.0048,0.0202,0.04,-0.0169,0.0118
ESN45,ESN45,ESN,-0.0371,0.0051,-0.0014,-0.0009,0.0022,-0.0008,0.0184,0.0383,-0.0187,0.0148
ESN46,ESN46,ESN,-0.0374,0.0051,-0.0018,-0.001,0.001,0.0016,0.0138,0.0427,-0.0194,0.0074
ESN47,ESN47,ESN,-0.0368,0.0049,-0.0018,-0.0021,0.0017,0.0019,0.0162,0.0381,-0.0141,0.0102
ESN48,ESN48,ESN,-0.037,0.0051,-0.0016,-0.0019,0.0048,0.001,0.021,0.0438,-0.0191,0.0041
ESN49,ESN49,ESN,-0.0368,0.005,-0.0023,-0.0012,0.0026,-0.0011,0.0193,0.0418,-0.0237,0.0025
ESN50,ESN50,ESN,-0.0373,0.0049,-0.0031,-0.0003,0.0047,0.0016,0.0164,0.0486,-0.0165,0.0104
ESN51,ESN51,ESN,-0.0368,0.005,-0.0012,-0.002,0.0017,0.0012,0.0181,0.0381,-0.0211,0.0028
ESN52,ESN52,ESN,-0.0371,0.0048,-0.002,-0.0012,0.0015,0.002,0.0215,0.0387,-0.0148,0.014
ESN53,ESN53,ESN,-0.0366,0.0051,-0.0025,-0.0015,0.0026,0.0023,0.0178,0.0353,-0.0177,0.0021
ESN54,ESN54,ESN,-0.0372,0.0051,-0.0017,-0.0008,0.0005,0.0047,0.017,0.0436,-0.0247,0.0145
ESN55,ESN55,ESN,-0.0371,0.0049,-0.0022,-0.002,0.0027,0.0007,0.0159,0.0421,-0.0191,0.0121
ESN56,ESN56,ESN,-0.0371,0.0052,-0.0027,0.0001,0.0007,-0.0015,0.0204,0.0406,-0.02,0.0067
ESN57,ESN57,ESN,-0.0371,0.0044,-0.0022,0.0003,0.0024,0.0011,0.0203,0.0382,-0.0194,0.0116
ESN58,ESN58,ESN,-0.0372,0.005,-0.001,-0.002,0.0055,0.0024,0.0193,0.041,-0.0159,0.0036
ESN59,ESN59,ESN,-0.0371,0.0052,-0.0015,-0.0014,0.004,0.0003,0.0177,0.0381,-0.0202,0.0045
ESN60,ESN60,ESN,-0.0367,0.005,-0.0013,-0.0004,0.0017,0.0017,0.019,0.0467,-0.0197,0.0083
ESN61,ESN61,ESN,-0.0371,0.0056,-0.0008,-0.0008,0.002,0.0033,0.0146,0.0396,-0.0166,0.0078
ESN62,ESN62,ESN,-0.0368,0.0047,-0.0025,-0.0018,0.0031,0.0013,0.0229,0.0415,-0.022,0.008
MSL28,MSL28,MSL,-0.0372,0.005,-0.0024,-0.0013,0.0015,0.0021,-0.0334,-0.0064,0.007,-0.0063
MSL29,MSL29,MSL,-0.0369,0.0051,-0.0021,-0.0001,0.0027,0.0017,-0.0292,-0.0073,0.0014,-0.0025
MSL30,MSL30,MSL,-0.0368,0.005,-0.0015,-0.0001,0.0012,-0.0007,-0.0295,-0.0006,0.0033,-0.0049
MSL31,MSL31,MSL,-0.0371,0.0056,-0.001,-0.0011,-0.0001,-0.0003,-0.0324,-0.0011,0.0054,-0.0066
PJL64,PJL64,PJL,0.0043,-0.007,0.0387,0.0022,0.0008,0.0027,0,-0.0036,-0.0054,-0.0081
PJL65,PJL65,PJL,0.0043,-0.0067,0.039,0.0028,0.0032,-0.0007,-0.0018,0.001,-0.0121,-0.0196
PJL66,PJL66,PJL,0.0052,-0.002,0.0316,0.0022,0.0006,-0.0047,-0.0029,-0.0007,-0.0081,-0.0097
PJL67,PJL67,PJL,0.0051,-0.003,0.0343,0.0037,-0.0008,0.0006,0.0023,-0.0096,0.0021,0.0269
PJL68,PJL68,PJL,0.0057,-0.0017,0.0308,0.0033,0.0017,-0.0022,-0.0022,0.0008,0.0006,0.0124
PJL69,PJL69,PJL,0.0056,-0.0002,0.0291,0.0018,0.0006,0,0.0001,0.0039,-0.0017,0.0015
GWD106,GWD106,GWD,-0.0363,0.0049,-0.0021,-0.0009,0.0006,0.0008,-0.0599,-0.0375,0.0268,0.0032
GWD107,GWD107,GWD,-0.0369,0.0048,-0.0009,-0.0004,0.0002,-0.0011,-0.0567,-0.0295,0.0177,-0.0066
GWD108,GWD108,GWD,-0.0355,0.0051,-0.002,-0.001,-0.0011,-0.0017,-0.062,-0.0362,0.014,-0.0121
GWD109,GWD109,GWD,-0.0358,0.0053,-0.0013,-0.0014,-0.0012,-0.0032,-0.0549,-0.0283,0.0144,-0.009
GWD110,GWD110,GWD,-0.0361,0.0051,-0.0013,-0.001,-0.0004,-0.0022,-0.0626,-0.0332,0.0173,0.0011
GWD111,GWD111,GWD,-0.0355,0.0049,-0.0007,-0.0002,-0.0006,-0.0016,-0.0645,-0.045,0.0148,-0.0068
ESN63,ESN63,ESN,-0.0371,0.0054,-0.0023,-0.0009,0.0019,0.0011,0.0152,0.0411,-0.0169,0.0017
ESN64,ESN64,ESN,-0.037,0.0048,-0.0014,-0.0011,0.0001,0.001,0.0188,0.0414,-0.0215,0.008
ESN65,ESN65,ESN,-0.0373,0.0045,-0.0019,-0.0007,0.0035,0.0025,0.0097,0.0413,-0.0198,0.0136
ESN66,ESN66,ESN,-0.0372,0.0048,-0.0018,-0.0011,0.0018,0.0005,0.0176,0.0414,-0.0238,0.0064
ESN67,ESN67,ESN,-0.0371,0.005,-0.0017,-0.0006,0.0044,0.0018,0.0168,0.0479,-0.0223,0.0136
ESN68,ESN68,ESN,-0.0368,0.005,-0.0015,0,0.0007,0.0005,0.0217,0.042,-0.0193,0.0103
ESN69,ESN69,ESN,-0.0371,0.0054,-0.0017,-0.0007,0.0004,0.0025,0.0165,0.0395,-0.0143,0.0022
ESN70,ESN70,ESN,-0.0368,0.0049,-0.0021,-0.0006,0.0017,0.0009,0.0173,0.034,-0.0172,0.0041
ESN71,ESN71,ESN,-0.0366,0.005,-0.0016,-0.0013,0.003,-0.0003,0.0147,0.0296,-0.0174,0.0155
ESN72,ESN72,ESN,-0.0369,0.0049,-0.0028,-0.0014,0.0007,0.0017,0.0158,0.0391,-0.0173,0.0047
ESN73,ESN73,ESN,-0.037,0.0054,-0.002,-0.0016,0.0026,-0.0008,0.0172,0.0406,-0.0202,0.0042
ESN74,ESN74,ESN,-0.037,0.0051,-0.0019,-0.0009,0.0023,0.003,0.022,0.0385,-0.0229,0.0024
ESN75,ESN75,ESN,-0.0369,0.0046,-0.0019,-0.0011,0.0016,0.003,0.0189,0.0453,-0.0212,0.0066
ESN76,ESN76,ESN,-0.0373,0.0049,-0.0018,-0.0012,0.0044,-0.0004,0.0185,0.0439,-0.0219,0.0088
ESN77,ESN77,ESN,-0.0372,0.005,-0.002,-0.0018,0.0032,0.0008,0.0167,0.0397,-0.0222,0.0025
ESN78,ESN78,ESN,-0.0366,0.0053,-0.0019,-0.0017,0.0013,0.0008,0.0102,0.0472,-0.0165,0.0071
ESN79,ESN79,ESN,-0.0374,0.0051,-0.0007,-0.0005,0.0003,-0.0001,0.0159,0.0445,-0.0246,0.008
ESN80,ESN80,ESN,-0.0369,0.005,-0.0017,-0.001,0.0004,-0.0013,0.0139,0.0365,-0.0223,0.0048
ESN81,ESN81,ESN,-0.037,0.0049,-0.0011,-0.0008,0.0039,0.0017,0.0201,0.0465,-0.0201,0.0103
ESN82,ESN82,ESN,-0.0369,0.005,-0.0015,-0.0008,0.003,0.0023,0.0228,0.0488,-0.016,0.0023
ESN83,ESN83,ESN,-0.0368,0.0051,-0.0017,-0.0008,0.0012,0.0044,0.0198,0.0404,-0.0183,0.002
ESN84,ESN84,ESN,-0.037,0.0052,-0.0018,-0.0009,0.0055,-0.0002,0.0171,0.0471,-0.0191,0.0011
ESN85,ESN85,ESN,-0.0371,0.005,-0.0017,-0.0004,0.0035,0.0031,0.0194,0.0426,-0.0233,0.0027
ESN86,ESN86,ESN,-0.0369,0.0049,-0.0019,-0.0005,0.0047,0.0013,0.0177,0.0421,-0.0183,0.0151
ESN87,ESN87,ESN,-0.0374,0.005,-0.0024,0.0001,0.0034,0.0031,0.0212,0.0454,-0.0232,0.0035
ESN88,ESN88,ESN,-0.037,0.0055,-0.0021,-0.0017,0.0026,0.0013,0.0151,0.0451,-0.0163,0.0096
ESN89,ESN89,ESN,-0.037,0.0048,-0.0016,-0.0013,0.0032,-0.0009,0.0213,0.0361,-0.0167,0.007
ESN90,ESN90,ESN,-0.0371,0.0051,-0.0018,-0.0007,0.0043,0.0008,0.0199,0.0453,-0.0089,0.0185
ESN91,ESN91,ESN,-0.0372,0.0049,-0.0018,0.0001,0.0041,0.0009,0.023,0.044,-0.0192,0.0197
MSL32,MSL32,MSL,-0.037,0.0052,-0.0014,-0.0002,0.0027,-0.0013,-0.0308,-0.0073,0.006,-0.0015
MSL33,MSL33,MSL,-0.0368,0.005,-0.0013,-0.0006,0.0037,-0.0005,-0.0311,-0.0025,0.0063,0.0071
MSL34,MSL34,MSL,-0.0368,0.0051,-0.0011,-0.0009,0.0034,0.001,-0.0279,-0.0122,0.0044,-0.0092
MSL35,MSL35,MSL,-0.0368,0.0049,-0.0011,-0.0009,0.0035,-0.0013,-0.0356,-0.0017,0.0041,-0.0038
MSL36,MSL36,MSL,-0.037,0.0048,-0.0015,-0.0005,0.0027,-0.0023,-0.0289,-0.0096,0.005,0.0004
MSL37,MSL37,MSL,-0.0367,0.0052,-0.0026,-0.0012,0.0028,0.0009,-0.0352,-0.0124,0.0109,0.0048
MSL38,MSL38,MSL,-0.0368,0.005,-0.0013,-0.0003,0.0027,-0.0013,-0.0339,-0.0041,0.0041,-0.011
MSL39,MSL39,MSL,-0.0371,0.0049,-0.0014,-0.0009,0.0027,0.0011,-0.0322,0.0005,0.0055,0.0012
MSL40,MSL40,MSL,-0.0367,0.0049,-0.0018,-0.0004,0.0038,-0.002,-0.0354,-0.0064,0.0068,0.0023
MSL41,MSL41,MSL,-0.0369,0.0048,-0.0023,-0.0013,0.0024,0.0021,-0.0287,-0.005,0.0051,-0.0071
MSL42,MSL42,MSL,-0.0369,0.005,-0.0012,-0.0003,0.0014,0.0014,-0.0321,-0.0051,0.003,-0.0084
MSL43,MSL43,MSL,-0.0367,0.0049,-0.0018,-0.001,0.0037,-0.0006,-0.0338,-0.0016,0.0022,-0.0052
MSL44,MSL44,MSL,-0.0366,0.0047,-0.0016,-0.0006,0.0032,0.0005,-0.0365,-0.0104,0.0075,-0.0026
MSL45,MSL45,MSL,-0.0367,0.0047,-0.0018,-0.0002,0.0013,0,-0.0314,-0.0039,0.0078,0.0093
MSL46,MSL46,MSL,-0.0372,0.005,-0.0008,-0.0004,0.0018,0.0005,-0.0327,-0.0098,0.0113,0.0023
MSL47,MSL47,MSL,-0.0369,0.0048,-0.0022,0.0002,0.0036,-0.002,-0.0319,-0.0061,-0.0011,-0.0017
MSL48,MSL48,MSL,-0.0366,0.0049,-0.0013,-0.0005,0.0004,0.001,-0.0381,-0.0107,0.0119,-0.0026
MSL49,MSL49,MSL,-0.0369,0.0044,-0.0013,-0.0003,0.0014,0.0013,-0.0335,-0.007,0.0086,0.0033
MSL50,MSL50,MSL,-0.037,0.0052,-0.0022,-0.001,0.0043,-0.0013,-0.0335,-0.0104,0.0002,-0.0063
MSL51,MSL51,MSL,-0.0366,0.0049,-0.0018,-0.0014,0.0014,0.0027,-0.0356,-0.0089,0.0111,-0.0055
MSL52,MSL52,MSL,-0.0368,0.0049,-0.0014,-0.0006,0.0017,0.0008,-0.0391,-0.0103,0.0009,-0.0043
MSL53,MSL53,MSL,-0.0372,0.0052,-0.002,-0.0008,0.0031,0.001,-0.0323,-0.0067,0.0019,-0.008
MSL54,MSL54,MSL,-0.037,0.0047,-0.0028,-0.001,0.0021,-0.0006,-0.0399,-0.0111,0.0097,-0.0125
MSL55,MSL55,MSL,-0.0367,0.0051,-0.0016,-0.0008,0.0026,0.0016,-0.0312,-0.0084,0.0097,0.0047
MSL56,MSL56,MSL,-0.0369,0.005,-0.0019,-0.0008,0.0028,0.003,-0.0342,0.0012,0.0009,0.0004
MSL57,MSL57,MSL,-0.0369,0.0053,-0.002,-0.001,0.0017,0.0016,-0.0327,-0.0083,0.0053,-0.001
MSL58,MSL58,MSL,-0.0367,0.0048,-0.002,-0.0007,0.001,-0.002,-0.0334,-0.0078,0.0054,-0.0074
MSL59,MSL59,MSL,-0.0369,0.0049,-0.0025,-0.0012,0.0044,0.0026,-0.038,-0.0095,0.0071,-0.0057
MSL60,MSL60,MSL,-0.0369,0.005,-0.0025,-0.0019,-0.0014,-0.0011,-0.0304,-0.0036,0.0089,-0.002
MSL61,MSL61,MSL,-0.037,0.0049,-0.0018,-0.0021,0.0032,-0.0033,-0.0363,-0.0068,0.0099,0.0015
MSL62,MSL62,MSL,-0.037,0.0053,-0.0012,-0.0012,0.0033,0.0017,-0.0386,-0.0045,0.0026,0.0039
MSL63,MSL63,MSL,-0.0366,0.0047,-0.0015,-0.0003,0.0011,0.0022,-0.0341,-0.0116,0.0074,-0.0031
MSL64,MSL64,MSL,-0.0367,0.0052,-0.0015,-0.0006,0.0043,-0.0021,-0.0379,-0.0073,0.0045,-0.0065
MSL65,MSL65,MSL,-0.0371,0.0049,-0.0013,-0.0004,0.0003,0.0014,-0.0388,-0.005,0.0017,-0.0094
MSL66,MSL66,MSL,-0.0371,0.0049,-0.0013,-0.001,0.0029,-0.0017,-0.0286,-0.0061,0.0049,0.0005
MSL67,MSL67,MSL,-0.0369,0.0048,-0.0014,-0.002,0.0031,0.0003,-0.042,-0.0051,0.0147,0.0132
MSL68,MSL68,MSL,-0.0366,0.0049,-0.0018,-0.0002,0.0022,0.0001,-0.0282,-0.0061,0.0004,-0.006
MSL69,MSL69,MSL,-0.037,0.0048,-0.0018,-0.0013,0.0045,-0.0007,-0.0363,-0.0042,0.0067,0.007
MSL70,MSL70,MSL,-0.0369,0.0051,-0.0019,-0.0001,0.0048,0.0001,-0.0341,-0.0048,0.0042,0.0059
PJL70,PJL70,PJL,0.0052,-0.0039,0.0343,0.0028,0.0099,0.0024,0.0014,0.0035,0.0235,0.0184
PJL71,PJL71,PJL,0.0053,-0.0025,0.0325,0.0041,-0.0019,-0.0005,-0.0002,-0.0031,-0.0062,-0.0232
PJL72,PJL72,PJL,0.0042,-0.0066,0.04,0.0039,0.0035,-0.0028,-0.0017,0.0007,0.0064,0.0066
ESN92,ESN92,ESN,-0.037,0.0051,-0.0016,-0.0006,0.0022,0.0004,0.0143,0.0388,-0.0228,0.0063
ESN93,ESN93,ESN,-0.037,0.0054,-0.0014,-0.0011,0.004,-0.0006,0.0212,0.0417,-0.0243,0.0106
ESN94,ESN94,ESN,-0.037,0.0051,-0.0023,-0.0007,0.0015,0.0024,0.0137,0.0432,-0.0188,0.0102
ESN95,ESN95,ESN,-0.0371,0.0051,-0.0013,0.0005,0.0024,0.0032,0.0166,0.0346,-0.0123,0.004
ESN96,ESN96,ESN,-0.0373,0.005,-0.0016,-0.0005,0.0006,-0.0003,0.0198,0.0422,-0.0202,0.0051
ESN97,ESN97,ESN,-0.0368,0.0047,-0.0015,-0.0011,0.0043,-0.0008,0.0165,0.0426,-0.0215,0.0074
ESN98,ESN98,ESN,-0.0373,0.0048,-0.0019,-0.0015,0.0018,0.0018,0.0175,0.0395,-0.0145,0.0106
ESN99,ESN99,ESN,-0.0367,0.005,-0.002,-0.0005,0.003,0.001,0.0135,0.0432,-0.0177,0.0129
GWD112,GWD112,GWD,-0.0358,0.005,-0.0009,-0.0007,0.0009,-0.0024,-0.0613,-0.0325,0.0153,-0.0091
GWD113,GWD113,GWD,-0.0343,0.0052,-0.0023,-0.0014,-0.0042,-0.0036,-0.0556,-0.029,0.0131,-0.0035
MSL71,MSL71,MSL,-0.0371,0.005,-0.0023,-0.0003,0.0038,-0.0007,-0.0341,-0.0037,0.0067,0.0013
MSL72,MSL72,MSL,-0.0371,0.0049,-0.0012,-0.0003,0.0034,0.0003,-0.0287,-0.0005,0.0065,0.0039
MSL73,MSL73,MSL,-0.0368,0.0051,-0.0008,-0.0016,-0.0012,0.0014,-0.0318,-0.0062,0.0102,-0.0071
MSL74,MSL74,MSL,-0.0368,0.0048,-0.0029,-0.0004,0.0039,0.0035,-0.0302,-0.001,0.0029,0.0018
MSL75,MSL75,MSL,-0.0372,0.0051,-0.0026,-0.0007,0.0029,-0.002,-0.0337,-0.0082,0.0071,0.003
MSL76,MSL76,MSL,-0.0367,0.0051,-0.0019,-0.0013,0.002,0.0007,-0.0298,-0.0071,0.0108,0.0034
MSL77,MSL77,MSL,-0.0367,0.0047,-0.0015,-0.0007,0.0004,0.0001,-0.0313,-0.0054,-0.0009,-0.0071
MSL78,MSL78,MSL,-0.0365,0.0045,-0.0011,-0.0012,0.004,-0.0004,-0.0348,-0.0028,0.0016,-0.0031
MSL79,MSL79,MSL,-0.037,0.0049,-0.0013,-0.0004,0.004,0.0005,-0.0341,-0.0079,0.0103,0.0037
MSL80,MSL80,MSL,-0.0369,0.0048,-0.0021,-0.0008,0.003,-0.0004,-0.0373,-0.0082,0.0041,-0.0012
MSL81,MSL81,MSL,-0.0366,0.0051,-0.0023,-0.0009,0.0035,0.0023,-0.0351,-0.0137,-0.0001,-0.0082
MSL82,MSL82,MSL,-0.0368,0.0049,-0.0027,-0.002,0.0034,0.0016,-0.0248,-0.008,0.0075,0.0065
MSL83,MSL83,MSL,-0.0369,0.0048,-0.0017,-0.0013,0.0023,0.0001,-0.0304,0.0009,0.0058,0.0034
MSL84,MSL84,MSL,-0.0368,0.0052,-0.0017,-0.0009,0.0043,0.0019,-0.0329,-0.0122,0.0091,0.0031
MSL85,MSL85,MSL,-0.037,0.0052,-0.0026,-0.0012,0.0048,-0.0004,-0.0364,0.0038,0.0012,-0.003
BEB5,BEB5,BEB,0.0039,-0.011,0.0352,0.0025,0.0016,0.0065,-0.0018,-0.0028,0.0012,0.0206
BEB6,BEB6,BEB,0.0039,-0.0108,0.0393,0.0014,0.0009,0.0011,0.0002,0.002,0.009,0.0123
BEB7,BEB7,BEB,0.0043,-0.0107,0.0374,0.0025,-0.0027,0.0063,-0.0011,0.0062,0.0069,0.0182
BEB8,BEB8,BEB,0.0038,-0.0111,0.0367,0.0015,-0.0017,0.0022,-0.0004,-0.0008,0.0021,0.0093
BEB9,BEB9,BEB,0.0044,-0.0109,0.0353,0.0021,0.0005,0.0014,-0.0004,0.0028,-0.0073,-0.009
BEB10,BEB10,BEB,0.0042,-0.0109,0.0356,0.0015,0.004,0.0035,0.0058,-0.0058,0.0048,0.0231
BEB11,BEB11,BEB,0.0038,-0.0104,0.0469,0.0043,0.0044,0.0015,0.0007,0.0024,0.0104,0.023
BEB12,BEB12,BEB,0.0043,-0.0113,0.0379,0.0029,0.0015,0.0048,0.0005,-0.0049,-0.0043,-0.0159
BEB13,BEB13,BEB,0.0041,-0.0109,0.0375,0.0015,0.0047,0.001,0.0007,0.003,-0.006,-0.0053
BEB14,BEB14,BEB,0.004,-0.0112,0.0361,0.0014,0.0038,0.0028,0.0015,0.0042,-0.005,-0.0092
BEB15,BEB15,BEB,0.004,-0.0113,0.0366,0.0023,0.0005,0.0029,0.0011,0.0019,0.0086,0.0238
BEB16,BEB16,BEB,0.0039,-0.0106,0.0363,0.0011,-0.0001,0.0027,0.0008,0.0002,0.0006,-0.0083
BEB17,BEB17,BEB,0.0037,-0.0105,0.0361,0.0003,0.0008,0.0021,0.0012,0.0024,-0.0056,-0.0084
PJL73,PJL73,PJL,0.0059,-0.0011,0.0283,0.0046,0.0054,-0.0029,0.0019,-0.004,0.008,-0.0049
PJL74,PJL74,PJL,0.0059,-0.0012,0.0316,0.004,0.0027,0.0006,0.0006,0.0018,0.0074,0.0141
PJL75,PJL75,PJL,0.0058,-0.001,0.0299,0.0042,-0.0004,-0.0017,-0.0003,0.0009,0.0012,0.0106
PJL76,PJL76,PJL,0.0052,-0.0035,0.0328,0.0032,-0.0014,0.0032,0.0018,0.0071,-0.0126,-0.0149
PJL77,PJL77,PJL,0.005,-0.004,0.0344,0.0029,0.0006,-0.0011,-0.0016,0.0043,-0.0031,-0.0056
PJL78,PJL78,PJL,0.0056,-0.0021,0.031,0.0014,0.0027,-0.0012,0.0038,0.0075,0.0021,-0.0002
PJL79,PJL79,PJL,0.0052,-0.004,0.0339,0.0032,0.0039,0.0009,0.0034,-0.0032,0.0064,0.0178
PJL80,PJL80,PJL,0.0043,-0.0084,0.041,0.0032,-0.0023,-0.0055,-0.0006,-0.0035,0.0106,0.0212
STU1,STU1,STU,0.0032,-0.0101,0.0449,0.0032,0.0004,0.0044,0.0016,0.0039,0,0.0022
STU2,STU2,STU,0.0039,-0.0084,0.0444,0.0028,-0.0026,0.0004,0.004,-0.0033,0.0026,0.0302
STU3,STU3,STU,0.0036,-0.0086,0.0431,0.003,-0.0019,-0.0019,0.0005,-0.0016,-0.002,0.0203
STU4,STU4,STU,0.0036,-0.0086,0.0443,0.003,-0.0025,-0.0009,-0.0017,0.0008,-0.0135,-0.0073
STU5,STU5,STU,0.0037,-0.0084,0.0434,0.0025,-0.0001,-0.0003,-0.0026,-0.002,-0.0079,0.0077
PJL81,PJL81,PJL,0.0047,-0.0051,0.0349,0.0035,0.0015,-0.0014,-0.0009,-0.0076,0.0057,0.0195
PJL82,PJL82,PJL,0.0045,-0.0063,0.0389,0.0032,0.0013,0.0001,0.0069,0.0021,0.0124,0.0195
PJL83,PJL83,PJL,0.0044,-0.0056,0.0381,0.0044,-0.0005,0,0.0026,0.0022,0.0106,0.0162
PJL84,PJL84,PJL,0.0047,-0.0075,0.0405,0.0028,0.0014,0.0043,-0.0029,0.0039,0.0127,0.0215
PJL85,PJL85,PJL,0.0045,-0.0091,0.0429,0.0031,0.0065,0.0014,-0.0063,-0.004,0.0048,0.0299
PJL86,PJL86,PJL,0.004,-0.0091,0.0428,0.0014,-0.0012,0.0022,0.0034,-0.0008,0.0003,0.0103
PJL87,PJL87,PJL,0.0048,-0.0055,0.037,0.0052,0.0037,0.0004,-0.0027,-0.0017,-0.0008,0.0054
STU6,STU6,STU,0.0042,-0.0075,0.0456,0.0037,-0.0045,0.0017,-0.0036,-0.0014,-0.0017,0.0047
STU7,STU7,STU,0.0036,-0.0083,0.0434,0.0043,-0.0026,0.0017,-0.0032,-0.001,-0.0067,0.0166
STU8,STU8,STU,0.0035,-0.008,0.0435,0.0034,-0.0036,-0.0019,-0.0024,0.0021,-0.0069,0.0122
STU9,STU9,STU,0.0041,-0.0086,0.0445,0.0031,-0.0035,0.0021,-0.0005,0.0025,0.003,0.0104
STU10,STU10,STU,0.0039,-0.0082,0.0441,0.0029,-0.0042,-0.0048,-0.0045,-0.0012,-0.0034,0.0005
STU11,STU11,STU,0.003,-0.0108,0.0473,0.0049,-0.005,0.0005,0.0005,0.0036,0.006,0.0268
STU12,STU12,STU,0.0035,-0.0084,0.0447,0.0038,-0.0023,0.0006,0.0035,-0.0038,-0.0155,-0.0183
STU13,STU13,STU,0.0035,-0.0096,0.0458,0.0033,0.0003,-0.0023,0.0013,-0.0055,-0.0055,0.0026
STU14,STU14,STU,0.0038,-0.0084,0.0439,0.0033,-0.0043,0.0042,-0.0018,-0.0042,-0.0038,0.006
STU15,STU15,STU,0.0043,-0.0086,0.0457,0.0025,-0.0023,-0.0062,0.0053,-0.0005,-0.0069,0.0094
STU16,STU16,STU,0.0036,-0.0085,0.0451,0.0039,-0.0058,-0.0015,0.0024,0.0016,0.0029,0.0275
STU17,STU17,STU,0.0032,-0.0096,0.0434,0.0026,-0.0045,-0.0045,-0.0009,-0.0014,-0.0035,0.0238
STU18,STU18,STU,0.0037,-0.0094,0.0448,0.0038,-0.0043,-0.0043,0.003,0.0038,-0.0093,0.0099
STU19,STU19,STU,0.0037,-0.0096,0.0436,0.0036,0.0006,-0.0024,0.0019,-0.0067,-0.0136,0.0069
STU20,STU20,STU,0.0046,-0.0068,0.0332,0.0002,-0.0041,0.0033,0.0013,-0.0004,-0.0067,-0.0101
STU21,STU21,STU,0.0037,-0.0089,0.0444,0.0043,-0.0036,-0.0014,0.0016,-0.0057,-0.0091,0.0002
STU22,STU22,STU,0.0036,-0.0085,0.0442,0.0044,-0.0034,0.0007,-0.0049,-0.0011,0.0031,0.0097
STU23,STU23,STU,0.0038,-0.0087,0.0433,0.004,-0.0016,-0.0008,-0.0017,-0.0026,0.0033,0.0278
STU24,STU24,STU,0.0041,-0.0079,0.0426,0.004,-0.0003,-0.0042,-0.0002,-0.0032,-0.0078,0.0095
PJL88,PJL88,PJL,0.0044,-0.0074,0.0403,0.0036,0.0057,-0.0002,-0.0016,0.001,-0.0071,-0.0046
PJL89,PJL89,PJL,0.0048,-0.0063,0.0392,0.0041,0.0044,0.0021,0.0036,0.0035,-0.0058,-0.0175
PJL90,PJL90,PJL,0.0044,-0.0081,0.0421,0.0022,-0.0013,-0.0003,-0.0018,0.0007,0.0028,0.0071
