FID,IID,POPULATION,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CDX42,CDX42,CDX,0.003,-0.0373,-0.013,-0.0168,-0.0144,0.0448,0.0008,0.0044,-0.0011,-0.0021
CDX43,CDX43,CDX,0.0029,-0.037,-0.0117,-0.0176,-0.0174,0.0492,-0.0027,-0.0032,-0.0021,0.0076
CDX44,CDX44,CDX,0.0029,-0.0366,-0.0105,-0.0169,-0.0141,0.0442,0.001,-0.0021,-0.0023,0.0013
CDX45,CDX45,CDX,0.003,-0.0365,-0.0109,-0.0151,-0.0131,0.0404,0.0005,-0.0042,-0.0057,0.0013
CDX46,CDX46,CDX,0.003,-0.0372,-0.0124,-0.016,-0.018,0.0471,-0.0029,0.0062,-0.0027,0.0003
CDX47,CDX47,CDX,0.0029,-0.037,-0.0103,-0.018,-0.0181,0.0534,0.0017,-0.0001,0.001,0.0005
CDX48,CDX48,CDX,0.0028,-0.0369,-0.0111,-0.0165,-0.0166,0.0433,-0.002,0.0006,-0.0054,0.0017
CDX49,CDX49,CDX,0.003,-0.0376,-0.0109,-0.0176,-0.0166,0.0447,0.0019,-0.0033,-0.0002,-0.0006
CDX50,CDX50,CDX,0.0028,-0.0368,-0.0113,-0.0161,-0.0196,0.0524,0.0025,-0.006,-0.0036,0.0002
CDX51,CDX51,CDX,0.0031,-0.0371,-0.0121,-0.0168,-0.0168,0.0474,0.0006,0.0009,-0.0045,-0.0043
CDX52,CDX52,CDX,0.0033,-0.0369,-0.0134,-0.0171,-0.0179,0.0485,-0.0008,-0.0049,-0.0035,-0.0007
CDX53,CDX53,CDX,0.0031,-0.037,-0.0126,-0.0172,-0.0156,0.0493,-0.0014,-0.0043,-0.0033,-0.0003
CDX54,CDX54,CDX,0.0031,-0.0368,-0.0126,-0.0173,-0.0177,0.0447,-0.0036,0.0014,-0.0005,0.0032
CDX55,CDX55,CDX,0.0027,-0.0369,-0.0111,-0.0158,-0.0179,0.0541,0.0011,-0.0019,-0.0013,-0.0025
CDX56,CDX56,CDX,0.0029,-0.0371,-0.0123,-0.0166,-0.0168,0.0559,0.0001,0.0013,0.0014,0.0036
